2024-01-03 17:28:40 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704320920
2024-01-03 17:29:10 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704320950
2024-01-03 17:29:41 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704320981
2024-01-03 17:30:11 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321011
2024-01-03 17:30:42 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704321042
2024-01-03 17:31:12 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321072
2024-01-03 17:31:42 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321102
2024-01-03 17:32:13 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321133
2024-01-03 17:32:43 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321163
2024-01-03 17:33:14 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704321194
2024-01-03 17:55:56 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704322556
2024-01-03 18:00:21 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704322821
2024-01-03 18:00:52 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704322852
2024-01-03 18:01:22 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704322882
2024-01-03 18:01:53 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704322913
2024-01-03 18:02:23 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704322943
2024-01-03 18:02:54 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704322974
2024-01-03 18:03:24 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704323004
2024-01-03 18:03:55 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704323035
2024-01-03 18:04:25 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 72 1704323065
2024-01-03 18:04:55 hashrate: 78 TH/s at 2485 Watt, 31 W/TH/s, Status 1 Tmax 73 1704323095
